latitude,longitude,year,month,day,type,basisOfRecord,gbifID,occurrenceID,system:time_start,geometry
16.86384,-88.32351,2014.0,6.0,11.0,PhysicalObject,PRESERVED_SPECIMEN,919440936,urn:catalog:MSU:MR:MR.20960,2014-06-11T00:00:00,POINT (-88.32351 16.86384)
18.08333,-88.56667,2014.0,6.0,10.0,PhysicalObject,PRESERVED_SPECIMEN,919434640,urn:catalog:MSU:MR:MR.12386,2014-06-10T00:00:00,POINT (-88.56667 18.08333)
15.88379,-88.18333,2014.0,6.0,10.0,PhysicalObject,PRESERVED_SPECIMEN,919430431,urn:catalog:MSU:MR:MR.21128,2014-06-10T00:00:00,POINT (-88.18333 15.88379)
18.08333,-89.63333,2010.0,5.0,17.0,PhysicalObject,PRESERVED_SPECIMEN,919425843,urn:catalog:MSU:MR:MR.2876,2010-05-17T00:00:00,POINT (-89.63333 18.08333)
15.88379,-88.18333,1949.0,9.0,2.0,PhysicalObject,PRESERVED_SPECIMEN,919425568,urn:catalog:MSU:MR:MR.21129,1949-09-02T00:00:00,POINT (-88.18333 15.88379)
9.95,-84.0,1940.0,3.0,22.0,,PRESERVED_SPECIMEN,865739381,,1940-03-22T00:00:00,POINT (-84 9.95)
10.96808,-85.05,2008.0,12.0,31.0,,PRESERVED_SPECIMEN,686473093,8f84e97e-1ed8-11e3-bfac-90b11c41863e,2008-12-31T00:00:00,POINT (-85.05 10.96808)
19.4589749,-89.7312683,1953.0,5.0,15.0,,PRESERVED_SPECIMEN,686425813,8d391c8a-1ed8-11e3-bfac-90b11c41863e,1953-05-15T00:00:00,POINT (-89.7312683 19.4589749)
14.0988548,-84.546704,2004.0,1.0,25.0,,PRESERVED_SPECIMEN,686425272,8d363d8a-1ed8-11e3-bfac-90b11c41863e,2004-01-25T00:00:00,POINT (-84.546704 14.0988548)
18.6073477,-90.2190558,1954.0,6.0,1.0,,PRESERVED_SPECIMEN,686422818,8d2007cd-1ed8-11e3-bfac-90b11c41863e,1954-06-01T00:00:00,POINT (-90.2190558 18.6073477)
18.5042993,-89.022082,1972.0,1.0,1.0,,PRESERVED_SPECIMEN,686422817,8d20004d-1ed8-11e3-bfac-90b11c41863e,1972-01-01T00:00:00,POINT (-89.022082 18.5042993)
11.29392,-85.76667,2024.0,7.0,31.0,,PRESERVED_SPECIMEN,686401089,8c20c9e3-1ed8-11e3-bfac-90b11c41863e,2024-07-31T00:00:00,POINT (-85.76667 11.29392)
12.9117993,-87.5006408,2024.0,5.0,16.0,,PRESERVED_SPECIMEN,686401088,8c20c6c4-1ed8-11e3-bfac-90b11c41863e,2024-05-16T00:00:00,POINT (-87.5006408 12.9117993)
16.7096591,-91.0651821,2024.0,12.0,7.0,Physical Object,PRESERVED_SPECIMEN,583510162,urn:catalog:CAS:MAM:20855,2024-12-07T00:00:00,POINT (-91.0651821 16.7096591)
16.96667,-88.21667,2024.0,11.0,28.0,Physical Object,PRESERVED_SPECIMEN,583493380,urn:catalog:CAS:MAM:16108,2024-11-28T00:00:00,POINT (-88.21667 16.96667)
16.883917,-88.204865,2024.0,12.0,2.0,,HUMAN_OBSERVATION,5063502537,https://www.inaturalist.org/observations/259603267,2024-12-02T00:00:00,POINT (-88.204865 16.883917)
18.273293,-91.671752,2024.0,9.0,27.0,,HUMAN_OBSERVATION,5063343523,https://www.inaturalist.org/observations/259264187,2024-09-27T00:00:00,POINT (-91.671752 18.273293)
