decimalLatitude	decimalLongitude	date	language	license	modified	publisher	decimalLatitude	decimalLongitude	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	gbifID	accessRights	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	date	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks			coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
23.7873724	-97.8984229	3/18/67	en	CC0_1_0	2015-04-09T00:00:00Z		23.7873724	-97.8984229	PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PRESERVED_SPECIMEN		919445495	http://vertnet.org/resources/norms.html	urn:catalog:MSU:MR:MR.5685	MR.5685	RHB4204	Rollin H. Baker					Male						native			requires verification	PRESENT	skull																						1958				1958			winter 1958										North and Central America;Mexico;Tamaulipas State	NORTH_AMERICA				MX	Tamaulipas			8 mi. W La Pesca	North and Central America | Mexico | Tamaulipas State | 8 mi. W La Pesca										12738			degrees minutes seconds							VertNet Georeferencing Guidelines																																							"Felis onca Linnaeus, 1758"							Animalia | Chordata | Mammalia | Carnivora | Felidae | Felis	Animalia	Chordata	Mammalia	Carnivora		Felidae				Panthera	Felis			onca			SPECIES			ICZN	SYNONYM			22a66350-7947-4a49-84a3-39c7c1b0881f	US	2025-01-31T18:28:59.067Z						COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_HIGHERRANK		TRUE	FALSE	2435226	5219426	1	44	359	732	9703	2435194		5219426	Panthera onca	"Panthera onca (Linnaeus, 1758)"	Felis onca veraecrucis		EML	2025-01-31T18:28:59.067Z	2025-01-18T00:21:14.098Z	TRUE			FALSE	LATIN_AMERICA	NORTH_AMERICA	MEX	México	MEX.28_1	Tamaulipas	MEX.28.37_2	Soto la Marina			NT
16.86384	-88.32351	6/11/14	en	CC0_1_0	2015-04-09T00:00:00Z		16.86384	-88.32351	PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PRESERVED_SPECIMEN		919440936	http://vertnet.org/resources/norms.html	urn:catalog:MSU:MR:MR.20960	MR.20960		"C. Erwin Wilson, Jr."					Male						native			requires verification	PRESENT	skull							no measurements															1970-02				1970	2												Central America;Belize	NORTH_AMERICA				BZ				10 mi. SW Stann Creek	Central America | Belize | 10 mi. SW Stann Creek										7010			decimal degrees							VertNet Georeferencing Guidelines		Extent is half the longest distance across the town from the NE to the SW																																					"Felis onca Linnaeus, 1758"							Animalia | Chordata | Mammalia | Carnivora | Felidae | Felis	Animalia	Chordata	Mammalia	Carnivora		Felidae				Panthera	Felis			onca			SPECIES			ICZN	SYNONYM			22a66350-7947-4a49-84a3-39c7c1b0881f	US	2025-01-31T18:28:56.658Z						TAXON_MATCH_HIGHERRANK		TRUE	FALSE	2435226	5219426	1	44	359	732	9703	2435194		5219426	Panthera onca	"Panthera onca (Linnaeus, 1758)"	Felis onca goldmani		EML	2025-01-31T18:28:56.658Z	2025-01-18T00:21:14.098Z	TRUE			FALSE	LATIN_AMERICA	NORTH_AMERICA	BLZ	Belize	BLZ.5_1	Stann Creek					NT
18.08333	-88.56667	6/10/14	en	CC0_1_0	2015-04-09T00:00:00Z		18.08333	-88.56667	PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PRESERVED_SPECIMEN		919434640	http://vertnet.org/resources/norms.html	urn:catalog:MSU:MR:MR.12386	MR.12386		Suzanne Stock					Male						native			requires verification	PRESENT	unspecified																						3/18/67		77	77	1967	3	18											Central America;Belize;Orange Walk District	NORTH_AMERICA				BZ	Orange Walk District			vicinity of Orange Walk	Central America | Belize | Orange Walk District | vicinity of Orange Walk										416			decimal degrees							VertNet Georeferencing Guidelines		Extent is half the distance to the New River to the east																																					"Felis onca Linnaeus, 1758"							Animalia | Chordata | Mammalia | Carnivora | Felidae | Felis	Animalia	Chordata	Mammalia	Carnivora		Felidae				Panthera	Felis			onca			SPECIES			ICZN	SYNONYM			22a66350-7947-4a49-84a3-39c7c1b0881f	US	2025-01-31T18:28:50.025Z						TAXON_MATCH_HIGHERRANK		TRUE	FALSE	2435226	5219426	1	44	359	732	9703	2435194		5219426	Panthera onca	"Panthera onca (Linnaeus, 1758)"	Felis onca goldmani		EML	2025-01-31T18:28:50.025Z	2025-01-18T00:21:14.098Z	TRUE			FALSE	LATIN_AMERICA	NORTH_AMERICA	BLZ	Belize	BLZ.4_1	Orange Walk					NT
15.88379	-88.18333	6/10/14	en	CC0_1_0	2015-04-09T00:00:00Z		15.88379	-88.18333	PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PRESERVED_SPECIMEN		919430431	http://vertnet.org/resources/norms.html	urn:catalog:MSU:MR:MR.21128	MR.21128		Willard H. Hagenmeyer					Indeterminate						native			requires verification	PRESENT	skull																						1972-03				1972	3		? March 1972										Central America;Belize					BZ				110 mi. S Belize	Central America | Belize | 110 mi. S Belize										136654			decimal degrees							VertNet Georeferencing Guidelines		Extent is half the longest distance across the town from the S to the N.																																					"Felis onca Linnaeus, 1758"							Animalia | Chordata | Mammalia | Carnivora | Felidae | Felis	Animalia	Chordata	Mammalia	Carnivora		Felidae				Panthera	Felis			onca			SPECIES			ICZN	SYNONYM			22a66350-7947-4a49-84a3-39c7c1b0881f	US	2025-01-31T18:28:53.560Z						COUNTRY_COORDINATE_MISMATCH;CONTINENT_COORDINATE_MISMATCH;TAXON_MATCH_HIGHERRANK		TRUE	TRUE	2435226	5219426	1	44	359	732	9703	2435194		5219426	Panthera onca	"Panthera onca (Linnaeus, 1758)"	Felis onca goldmani		EML	2025-01-31T18:28:53.560Z	2025-01-18T00:21:14.098Z	TRUE			FALSE	LATIN_AMERICA	NORTH_AMERICA									NT
18.08333	-89.63333	5/17/10	en	CC0_1_0	2015-04-09T00:00:00Z		18.08333	-89.63333	PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PRESERVED_SPECIMEN		919425843	http://vertnet.org/resources/norms.html	urn:catalog:MSU:MR:MR.2876	MR.2876	KB69	Karl D. Bailey					Male						native			requires verification	PRESENT	skeleton							No measurements															1958-02				1958	2												Central America;Belize;Orange Walk District	NORTH_AMERICA				BZ	Orange Walk District			Yo Creek	Central America | Belize | Orange Walk District | Yo Creek										916			decimal degrees							VertNet Georeferencing Guidelines		Extent is half the distance to the Yo Creek Archeological site to the east																																					"Felis onca Linnaeus, 1758"							Animalia | Chordata | Mammalia | Carnivora | Felidae | Felis	Animalia	Chordata	Mammalia	Carnivora		Felidae				Panthera	Felis			onca			SPECIES			ICZN	SYNONYM			22a66350-7947-4a49-84a3-39c7c1b0881f	US	2025-01-31T18:29:04.648Z						COUNTRY_COORDINATE_MISMATCH;TAXON_MATCH_HIGHERRANK		TRUE	TRUE	2435226	5219426	1	44	359	732	9703	2435194		5219426	Panthera onca	"Panthera onca (Linnaeus, 1758)"	Felis onca goldmani		EML	2025-01-31T18:29:04.648Z	2025-01-18T00:21:14.098Z	TRUE			FALSE	LATIN_AMERICA	NORTH_AMERICA	MEX	México	MEX.4_1	Campeche	MEX.4.1_2	Calakmul			NT
15.88379	-88.18333	9/2/49	en	CC0_1_0	2015-04-09T00:00:00Z		15.88379	-88.18333	PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PRESERVED_SPECIMEN		919425568	http://vertnet.org/resources/norms.html	urn:catalog:MSU:MR:MR.21129	MR.21129		Willard H. Hagenmeyer					Indeterminate						native			requires verification	PRESENT	skull																						1972-03				1972	3		? March 1972										Central America;Belize					BZ				110 mi. S Belize	Central America | Belize | 110 mi. S Belize										136654			decimal degrees							VertNet Georeferencing Guidelines		Extent is half the longest distance across the town from the S to the N.																																					"Felis onca Linnaeus, 1758"							Animalia | Chordata | Mammalia | Carnivora | Felidae | Felis	Animalia	Chordata	Mammalia	Carnivora		Felidae				Panthera	Felis			onca			SPECIES			ICZN	SYNONYM			22a66350-7947-4a49-84a3-39c7c1b0881f	US	2025-01-31T18:28:53.556Z						COUNTRY_COORDINATE_MISMATCH;CONTINENT_COORDINATE_MISMATCH;TAXON_MATCH_HIGHERRANK		TRUE	TRUE	2435226	5219426	1	44	359	732	9703	2435194		5219426	Panthera onca	"Panthera onca (Linnaeus, 1758)"	Felis onca goldmani		EML	2025-01-31T18:28:53.556Z	2025-01-18T00:21:14.098Z	TRUE			FALSE	LATIN_AMERICA	NORTH_AMERICA									NT
23.6321018	-97.9381462	2/7/09	en	CC0_1_0	2015-04-09T00:00:00Z		23.6321018	-97.9381462	PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PRESERVED_SPECIMEN		919422098	http://vertnet.org/resources/norms.html	urn:catalog:MSU:MR:MR.5686	MR.5686	RHB4195	Rollin H. Baker					Male						native			requires verification	PRESENT	skull																						1960-12				1960	12		Dec-60										North and Central America;Mexico;Tamaulipas State	NORTH_AMERICA				MX	Tamaulipas			15 mi. SW La Pesca	North and Central America | Mexico | Tamaulipas State | 15 mi. SW La Pesca										11581			degrees minutes seconds							VertNet Georeferencing Guidelines																																							"Felis onca Linnaeus, 1758"							Animalia | Chordata | Mammalia | Carnivora | Felidae | Felis	Animalia	Chordata	Mammalia	Carnivora		Felidae				Panthera	Felis			onca			SPECIES			ICZN	SYNONYM			22a66350-7947-4a49-84a3-39c7c1b0881f	US	2025-01-31T18:28:59.060Z						COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_HIGHERRANK		TRUE	FALSE	2435226	5219426	1	44	359	732	9703	2435194		5219426	Panthera onca	"Panthera onca (Linnaeus, 1758)"	Felis onca veraecrucis		EML	2025-01-31T18:28:59.060Z	2025-01-18T00:21:14.098Z	TRUE			FALSE	LATIN_AMERICA	NORTH_AMERICA	MEX	México	MEX.28_1	Tamaulipas	MEX.28.37_2	Soto la Marina			NT
23.739716	-106.445829	1/1/59		CC_BY_NC_4_0	2025-02-07T21:22:35Z		23.739716	-106.445829					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 30154m to protect threatened taxon	911508619		http://conabio.inaturalist.org/observations/732325	732325		rancholaspalomas					Male										PRESENT																							6/11/14		162	162	2014	6	11	6/11/14											NORTH_AMERICA				MX	Sinaloa				"Sinaloa, MX"										30154																															1283951				rancholaspalomas		2014-06-11T22:24:53				41970								"Panthera onca (Linnaeus, 1758)"								Animalia	Chordata	Mammalia	Carnivora		Felidae				Panthera	Panthera			onca			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	MX	2025-02-16T12:07:50.524Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	TRUE	FALSE	5219426	5219426	1	44	359	732	9703	2435194		5219426	Panthera onca	"Panthera onca (Linnaeus, 1758)"	Panthera onca		DWC_ARCHIVE	2025-02-16T12:07:50.524Z	2025-02-16T04:52:36.717Z	FALSE		https://www.inaturalist.org/projects/apff-meseta-de-cacaxtla-sinaloa;https://www.inaturalist.org/projects/mamiferos-silvestres-de-mexico;https://www.inaturalist.org/projects/procer-especies-prioritarias-pace;https://www.inaturalist.org/projects/camera-traps-trail-cams	FALSE	LATIN_AMERICA	LATIN_AMERICA	MEX	México	MEX.25_1	Sinaloa	MEX.25.17_2	San Ignacio			NT
23.60935	-106.484379	10/10/04		CC_BY_NC_4_0	2025-02-07T21:22:36Z		23.60935	-106.484379					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 30154m to protect threatened taxon	911508036		http://conabio.inaturalist.org/observations/729877	729877		rancholaspalomas					Male					alive					PRESENT								Jaguar en bebedero.															6/10/14		161	161	2014	6	10	6/10/14											NORTH_AMERICA				MX	Sinaloa				"San Ignacio, MX-SI, MX"										30154																															1280127				rancholaspalomas		2014-06-10T22:29:10				41970								"Panthera onca (Linnaeus, 1758)"								Animalia	Chordata	Mammalia	Carnivora		Felidae				Panthera	Panthera			onca			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	MX	2025-02-16T12:07:49.778Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	TRUE	FALSE	5219426	5219426	1	44	359	732	9703	2435194		5219426	Panthera onca	"Panthera onca (Linnaeus, 1758)"	Panthera onca		DWC_ARCHIVE	2025-02-16T12:07:49.778Z	2025-02-16T04:52:36.717Z	FALSE		https://www.inaturalist.org/projects/apff-meseta-de-cacaxtla-sinaloa;https://www.inaturalist.org/projects/mamiferos-silvestres-de-mexico;https://www.inaturalist.org/projects/procer-especies-prioritarias-pace	FALSE	LATIN_AMERICA	LATIN_AMERICA	MEX	México	MEX.25_1	Sinaloa	MEX.25.12_2	Mazatlán			NT
23.66736	-106.445095	10/10/04		CC_BY_NC_4_0	2025-02-07T21:22:35Z		23.66736	-106.445095					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 30154m to protect threatened taxon	911508029		http://conabio.inaturalist.org/observations/729881	729881		rancholaspalomas					Male										PRESENT								Jaguar bebedero en Las Palomas Meseta de Cacaxtla															6/10/14		161	161	2014	6	10	6/10/14											NORTH_AMERICA				MX	Sinaloa				"San Ignacio, MX-SI, MX"										30154																															1280134				rancholaspalomas		2014-06-10T22:30:57				41970								"Panthera onca (Linnaeus, 1758)"								Animalia	Chordata	Mammalia	Carnivora		Felidae				Panthera	Panthera			onca			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	MX	2025-02-16T12:07:49.566Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	TRUE	FALSE	5219426	5219426	1	44	359	732	9703	2435194		5219426	Panthera onca	"Panthera onca (Linnaeus, 1758)"	Panthera onca		DWC_ARCHIVE	2025-02-16T12:07:49.566Z	2025-02-16T04:52:36.717Z	FALSE		https://www.inaturalist.org/projects/apff-meseta-de-cacaxtla-sinaloa;https://www.inaturalist.org/projects/mamiferos-silvestres-de-mexico;https://www.inaturalist.org/projects/procer-especies-prioritarias-pace;https://www.inaturalist.org/projects/camera-traps-trail-cams	FALSE	LATIN_AMERICA	LATIN_AMERICA	MEX	México	MEX.25_1	Sinaloa	MEX.25.12_2	Mazatlán			NT
